restaurant_name,name,rating,review,items_ordered,purchase_date,user_since
"Kober Mie, Kaca Piring",D*** B***,4.0,lebih diteliti lagi ya!! saya beli yang paket makan koberkan 3 tak kirain lengkap eh tibanya ada yang ketinggalan yaitu dimsumnya,Koberkan 3,25 December 2020,Gojek user since 11 November 2019
"Kober Mie, Kaca Piring",Seli irawati,2.0,lebih teliti terhadap pesanan,Kober Mie Manis - Kober Mie Original - Udang Rambutan - Lumpia Ayam,10 July 2024,Gojek user since 28 November 2019
"Kober Mie, Kaca Piring",A*,4.0,level 3 kurang kerasa pedasnya,Mie Iblis - Mie Setan,17 January 2022,Gojek user since 4 April 2019
"Kober Mie, Kaca Piring",M********,3.0,level kepedasan ga pedes sama sekali.....,Kober Mie Manis - Kober Mie Gurih - Udang Keju - Udang Rambutan,7 May 2023,Gojek user since 25 September 2020
"Kober Mie, Kaca Piring",D***,5.0,like it 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Mie Iblis - Mie Setan,17 December 2021,Gojek user since 22 July 2017
"Kober Mie, Kaca Piring",M****,5.0,lombok 5 pedes bngt apa lagi 30,Mie Iblis,8 September 2021,Gojek user since 1 July 2018
"Kober Mie, Kaca Piring",Muhamad badar fayyat nabil,5.0,"love banget,rasanya enak",Mie Iblis,18 May 2022,Gojek user since 22 March 2022
"Kober Mie, Kaca Piring",kur,5.0,luarbiasa... masakannya enak,Udang Keju - Udang Rambutan - Kober Mie Original - Lumpia Udang - Kober Amazon,30 May 2025,Gojek user since 20 November 2022
"Kober Mie, Kaca Piring",R**** D********,2.0,lumpia ayam nya gosong,Mie Iblis - Lumpia Ayam - Udang Rambutan,29 April 2022,Gojek user since 10 March 2018
"Kober Mie, Kaca Piring",S***** N**,3.0,lumpia udang nya pesen dua malah dtng nya satu,Kober Mie Gurih - Lumpia Udang - Udang Rambutan - Keyca,23 January 2023,Gojek user since 30 December 2021
"Kober Mie, Kaca Piring",A***** S****,5.0,lupa tidak ada sumpit nya😟,Mie Setan - Mie Angel,21 December 2021,Gojek user since 15 September 2021
"Kober Mie, Kaca Piring",M*** S***,4.0,m'f mas...mau ksih tip parkir dimenu apk sy kok gk ada...?,Mie Setan - Mie Angel,27 April 2022,Gojek user since 20 July 2018
"Kober Mie, Kaca Piring",Muhammad Fajar Satria,3.0,maaf ka mungkin lain kali bisa di cek dulu cabai sama tulisan di boxnya makasih,Kober Mie Manis - Lumpia Udang - Udang Rambutan - Udang Keju - Kober Mie Manis - Kober Mie Manis - Kober Mie Gurih - Baby Shake Milo,17 August 2024,Gojek user since 24 December 2018
"Kober Mie, Kaca Piring",J**** V******,5.0,maaf kak td kepanggil pak hehe,Kober Pamer 2,9 September 2021,Gojek user since 1 June 2019
"Kober Mie, Kaca Piring",N*****,1.0,"maaf rating nya satu, karna saya merasa rugi disini. niat hati order paket ppkm 2 ini malah dapet mie aja.",PPKM 2,26 July 2021,Gojek user since 30 July 2020
"Kober Mie, Kaca Piring",I*********,3.0,maaf saya kasih bintang 3 karena saya ambil promo yang Party 5 di menu dapatnya mie 4 + dimsum 4 + minuman 4... ternyata Dimsum nya cuman 2 yg datang...,Koberkan 5,31 December 2020,Gojek user since 28 December 2020
"Kober Mie, Kaca Piring",yanti,5.0,maaf telat ngasih ulasannya terima kasih pak makasih pesanan saya sampai tepat waktu,Udang Rambutan - Mie Iblis - Es Genderuwo,27 February 2022,Gojek user since 3 October 2018
"Kober Mie, Kaca Piring",nita,5.0,maaf ya pak jadi bingung bpk nya😁,Mie Iblis - Udang Rambutan - Es Tuyul,9 January 2022,Gojek user since 16 March 2020
"Kober Mie, Kaca Piring",D***,3.0,"maaf ya saya kasih bintang 3 karena saya kecewa dengan pesanan saya tidak sesuai dengan yg dipesan levelnya.. levelnya angel semua padahal ada reques level 2 ,3, dan 4 tapi dikasih level angel semua",Mie Angel - Mie Setan - Mie Setan,19 December 2020,Gojek user since 5 August 2017
"Kober Mie, Kaca Piring",nur aini,5.0,maakaasiiiihhh banyaaakkkk,Mie Iblis,27 May 2022,Gojek user since 28 October 2015
"Kober Mie, Kaca Piring",titin,1.0,"mahal, rasa Biasa aja, terutama sushi nya ga da yg enak,isi dalemnya dikit sushi nya",Kober Mie Original - Kober Mie Manis - Siomay - Shojin Ryori Maki - Ebi Tempura Roll - Chicken Cheese Roll - Kober Amazon Jr.,20 April 2023,Gojek user since 2 February 2018
"Kober Mie, Kaca Piring",sandi hermawan,2.0,makan dirumah atau disana lebih enak an dimakan disana. klau di bungkus rasanya beda,Mie Iblis - Udang Rambutan - Ceker,22 January 2022,Gojek user since 2 June 2018
"Kober Mie, Kaca Piring",Eko Wahyu Adi Purnomo,5.0,makan favorit dari dlu,Kober Mie Manis - Udang Rambutan - Udang Keju,2 September 2024,Gojek user since 28 June 2021
"Kober Mie, Kaca Piring",WAHYU HIDAYATULLAH,1.0,"makan saya kurang 1 LUMOIA AYAM, gak di kirim",Kober Mie Manis - Kober Mie Gurih - Lumpia Ayam,18 September 2024,Gojek user since 3 May 2023
"Kober Mie, Kaca Piring",Silvia Melania Nurmaida Sibarani,1.0,makana pesanan saya kurang tapi bayarnya full,Mie Iblis - Paket 1 - Ceker - Zombie Roll - Baby Shake Cappucinno - Keyca - Mummy Roll - Ice Chocolate,1 May 2022,Gojek user since 16 April 2022
"Kober Mie, Kaca Piring",rere wulandari,3.0,"makanan dingin , seperti kurang fresh .",Kober Mie Manis - Baby Shake Milo - Udang Keju - Udang Rambutan,26 June 2024,Gojek user since 4 April 2022
"Kober Mie, Kaca Piring",Lukman,1.0,makanan g segar sama sekali sprti makanan sisa,Sushi - Siomay,1 April 2022,Gojek user since 3 October 2016
